name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia,Powiat
Dywersyfikacja działalności Mach Piotr Von Mach poprzez inwestycje w woj. Pomorskim.,POMORSKIE Banino Lipowa 19 80-297,Nazwa: MACH PIOTR VON MACH<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Banino<br>Grantobiorca Ulica: Lipowa<br>Grantobiorca Nr budynku: 19<br>Grantobiorca Kod pocztowy: 80-297<br>Wartość wsparcia: 200700,80-297,Banino,19,Lipowa,POMORSKIE,MACH PIOTR VON MACH,200700.0,Powiat kartuski
Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Firma 1812 Artur Mostowy w województwie pomorskim polegające na uruchomieniu zewnętrznego SPA z rodzinną strefą wypoczynkową.,POMORSKIE Orzech Bytomska 27e 42-622,Nazwa: FIRMA 1812 ARTUR MOSTOWY<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Orzech<br>Grantobiorca Ulica: Bytomska<br>Grantobiorca Nr budynku: 27e<br>Grantobiorca Kod pocztowy: 42-622<br>Wartość wsparcia: 539199.88,42-622,Orzech,27e,Bytomska,POMORSKIE,FIRMA 1812 ARTUR MOSTOWY,539199.88,Powiat tarnogÃ³rski
Zwiększenie odporności przedsiębiorstwa KARTUSKA AGENCJA REKLAMOWA BOŻENA WEROCHOWSKA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE Dzierżążno Kartuska 17 83-332,Nazwa: KARTUSKA AGENCJA REKLAMOWA BOŻENA WEROCHOWSKA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Dzierżążno<br>Grantobiorca Ulica: Kartuska<br>Grantobiorca Nr budynku: 17<br>Grantobiorca Kod pocztowy: 83-332<br>Wartość wsparcia: 473441.8,83-332,Dzierżążno,17,Kartuska,POMORSKIE,KARTUSKA AGENCJA REKLAMOWA BOŻENA WEROCHOWSKA,473441.8,Powiat kartuski
Dywersyfikacja i rozszerzenie działalności firmy PEKARNIK Marcin Marciński (województwo pomorskie) w kierunku nowych usług gastronomicznych oraz cateringowych wraz ze zwiększeniem odporności firmy na przyszłe kryzysy i zmniejszeniem wpływu przedsiębiorstwa na klimat i środowisko.,POMORSKIE Reda Ks. Józefa Poniatowskiego 21 84-240,Nazwa: PEKARNIK Marcin Marciński<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Reda<br>Grantobiorca Ulica: Ks. Józefa Poniatowskiego<br>Grantobiorca Nr budynku: 21<br>Grantobiorca Kod pocztowy: 84-240<br>Wartość wsparcia: 214588.49,84-240,Reda,21,Ks. Józefa Poniatowskiego,POMORSKIE,PEKARNIK Marcin Marciński,214588.49,Powiat wejherowski
Podniesienie odporności przedsiębiorstwa ICC Bartosz Gurzęda na sytuacje kryzysowe w wyniku rozszerzenia i dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Reda Olchowa 59 84-240,Nazwa: ICC BARTOSZ GURZĘDA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Reda<br>Grantobiorca Ulica: Olchowa<br>Grantobiorca Nr budynku: 59<br>Grantobiorca Kod pocztowy: 84-240<br>Wartość wsparcia: 338450.44,84-240,Reda,59,Olchowa,POMORSKIE,ICC BARTOSZ GURZĘDA,338450.44,Powiat wejherowski
"Zwiększenie odporności przedsiębiorstwa SPÓŁA SABINA BRZOSKOWSKA, RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie)",POMORSKIE Gdańsk Bitwy Oliwskiej 34 80-339,"Nazwa: SPÓŁA SABINA BRZOSKOWSKA, RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Bitwy Oliwskiej<br>Grantobiorca Nr budynku: 34<br>Grantobiorca Kod pocztowy: 80-339<br>Wartość wsparcia: 222082.42",80-339,Gdańsk,34,Bitwy Oliwskiej,POMORSKIE,"SPÓŁA SABINA BRZOSKOWSKA, RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA",222082.42,Gdansk
"Rozszerzenie i dywersyfikacja usług świadczonych przez Hotel Kiston w oparciu o nowe i rozszerzone usługi, a także inwestycje w rozwiązania cyfrowe, proekologiczne i usługi rozwojowe podnoszące konkurencyjność firmy, zwiększające jej odporność na wypadek kolejnych kryzysów - realizowane w woj. pomorskim - Region 1",POMORSKIE Kistowo 26 83-320,"Nazwa: HOTEL KISTON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (dawniej PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE ""TRÓJBET"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ)<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kistowo<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 83-320<br>Wartość wsparcia: 479193.19",83-320,Kistowo,26,,POMORSKIE,"HOTEL KISTON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (dawniej PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE ""TRÓJBET"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ)",479193.19,Powiat starogardzki
"Inwestycja w celu uruchomienia nowych usług związanych ze SPA, siłownią zewnętrzną, wypożyczalnią rowerów, wirtualnym przewodnikiem turystycznym oraz organizacją konferencji tematycznych",POMORSKIE Szymbark Szymbarskich Zakładników 12 83-315,Nazwa: KASZUBSKIE CENTRUM KONGRESOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Szymbark<br>Grantobiorca Ulica: Szymbarskich Zakładników<br>Grantobiorca Nr budynku: 12<br>Grantobiorca Kod pocztowy: 83-315<br>Wartość wsparcia: 537634.69,83-315,Szymbark,12,Szymbarskich Zakładników,POMORSKIE,KASZUBSKIE CENTRUM KONGRESOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,537634.69,Powiat starogardzki
Inwestycje w nowe usługi u Chłopa,POMORSKIE Chmielno Wiejska 1 83-333,Nazwa: HENRYK KOSTUCH U CHŁOPA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Chmielno<br>Grantobiorca Ulica: Wiejska<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 83-333<br>Wartość wsparcia: 507393.14,83-333,Chmielno,1,Wiejska,POMORSKIE,HENRYK KOSTUCH U CHŁOPA,507393.14,Powiat kartuski
Rozszerzenie oferty wynajmu apartamentów o salon masażu w województwie Pomorskim,POMORSKIE Kraków Balicka 12a 30-149,Nazwa: PRZEMYSŁAW MATECKI MOON<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kraków<br>Grantobiorca Ulica: Balicka<br>Grantobiorca Nr budynku: 12a<br>Grantobiorca Kod pocztowy: 30-149<br>Wartość wsparcia: 106111.23,30-149,Kraków,12a,Balicka,POMORSKIE,PRZEMYSŁAW MATECKI MOON,106111.23,KrakÃ³w
Dywersyfikacja firmy o działalność związaną z centrum relaksu w województwie Pomorskim,POMORSKIE Gdańsk Królewskie Wzgórze 28 80-283,Nazwa: KARO Handel i usługi Karolina Przybyszewska<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Królewskie Wzgórze<br>Grantobiorca Nr budynku: 28<br>Grantobiorca Kod pocztowy: 80-283<br>Wartość wsparcia: 497655,80-283,Gdańsk,28,Królewskie Wzgórze,POMORSKIE,KARO Handel i usługi Karolina Przybyszewska,497655.0,Gdansk
Inwestycje związane z organizacją eventów dla rodzin oraz wykorzystaniem odnawialnych źródeł energii,POMORSKIE Kielno Oliwska 97 84-208,"Nazwa: RESTAURACJA ""GOSIA""- Małgorzata Frankowska<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kielno<br>Grantobiorca Ulica: Oliwska<br>Grantobiorca Nr budynku: 97<br>Grantobiorca Kod pocztowy: 84-208<br>Wartość wsparcia: 507825.06",84-208,Kielno,97,Oliwska,POMORSKIE,"RESTAURACJA ""GOSIA""- Małgorzata Frankowska",507825.06,Powiat wejherowski
Dywersyfikacja i uodpornienie na przyszłe kryzysy firmy Zomax Aleksandra Aszyk działającej w regionie pomorskim,POMORSKIE Reda Morelowa 1 84-240,Nazwa: ZOMAX Aleksandra Aszyk<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Reda<br>Grantobiorca Ulica: Morelowa<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 84-240<br>Wartość wsparcia: 538893.43,84-240,Reda,1,Morelowa,POMORSKIE,ZOMAX Aleksandra Aszyk,538893.43,Powiat wejherowski
Rozszerzenie działalności MY FLY o całkowicie nową usługę wynajmu domków nad jeziorem - woj. Pomorskie - Region 1,POMORSKIE Gdańsk Przywidzka 7 80-174,"Nazwa: WITOLD GULCZ ""MY FLY""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Przywidzka<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 80-174<br>Wartość wsparcia: 539904.93",80-174,Gdańsk,7,Przywidzka,POMORSKIE,"WITOLD GULCZ ""MY FLY""",539904.93,Gdansk
Rozszerzenie działalności spółki GRUPA WESTA poprzez stworzenie strefy relaksu w ośrodku Moderna w województwie pomorskim,POMORSKIE Gdynia pl. Kaszubski 8 81-350,Nazwa: GRUPA WESTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: pl. Kaszubski<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 81-350<br>Wartość wsparcia: 535163.26,81-350,Gdynia,8,pl. Kaszubski,POMORSKIE,GRUPA WESTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,535163.26,Gdynia
Rozwój miejsc krótkotrwałego zameldowania oraz wprowadzenie usług związanych z poprawą kondycji fizycznej,POMORSKIE Nowa Wieś Malborska Platynowa 26 82-200,Nazwa: A&M Firma eventowo-szkoleniowa Małgorzata Robaczek<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Nowa Wieś Malborska<br>Grantobiorca Ulica: Platynowa<br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 82-200<br>Wartość wsparcia: 101241,82-200,Nowa Wieś Malborska,26,Platynowa,POMORSKIE,A&M Firma eventowo-szkoleniowa Małgorzata Robaczek,101241.0,Powiat kwidzynski
Rozszerzenie oraz uodpornienie na sytuacje kryzysowe Firmy ORANGE TOUR poprzez wprowadzenie nowej usługi wynajmu domków woj. Pomorskie - Region 1,POMORSKIE Szczerbięcin 2 81-113,"Nazwa: ALICJA GULCZ ""ORANGE TOUR""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Szczerbięcin<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 81-113<br>Wartość wsparcia: 539322.21",81-113,Szczerbięcin,2,,POMORSKIE,"ALICJA GULCZ ""ORANGE TOUR""",539322.21,Gdynia
"Zwiększenie konkurencyjności firmy poprzez rozszerzenie zakresu usług o wynajem ekologicznego domku na wodzie tak zwanego houseboata. Obszar działania : województwo pomorskie , Pętla Żuławska i Zatoka Gdańska",POMORSKIE Błotnik Nadwiślańska 2 83-020,Nazwa: BEZ PATENTU ŁUKASZ ZACHARCZYK<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Błotnik<br>Grantobiorca Ulica: Nadwiślańska<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 83-020<br>Wartość wsparcia: 327523.5,83-020,Błotnik,2,Nadwiślańska,POMORSKIE,BEZ PATENTU ŁUKASZ ZACHARCZYK,327523.5,Gdansk County
Wdrożeniu innowacyjnej usługi interaktywnej edukacji sportowej na kortach do squasha. Region 1. woj. pomorskie.,POMORSKIE Kowale Zeusa 84 80-180,Nazwa: STANGIEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kowale<br>Grantobiorca Ulica: Zeusa<br>Grantobiorca Nr budynku: 84<br>Grantobiorca Kod pocztowy: 80-180<br>Wartość wsparcia: 538475.04,80-180,Kowale,84,Zeusa,POMORSKIE,STANGIEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,538475.04,Gdansk
"Utworzenie Centrum Nurkowego Diving Dragons (region 1, woj. pomorskie)",POMORSKIE Władysławowo Niepodległości 14 84-120,"Nazwa: Paweł Jajkowski HOTEL ""PEKIN"" I RESTAURACJA CHIŃSKA ""PEKIN""; PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""PEKIN""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Władysławowo<br>Grantobiorca Ulica: Niepodległości<br>Grantobiorca Nr budynku: 14<br>Grantobiorca Kod pocztowy: 84-120<br>Wartość wsparcia: 537743.7",84-120,Władysławowo,14,Niepodległości,POMORSKIE,"Paweł Jajkowski HOTEL ""PEKIN"" I RESTAURACJA CHIŃSKA ""PEKIN""; PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""PEKIN""",537743.7,Powiat pucki
"Zwiększenie odporności firmy Happy Sport na sytuacje kryzysowe poprzez dywersyfikację usług, które pozwolą wejść w nowe obszary działalności w województwie pomorskim",POMORSKIE Gdańsk Niedźwiednik 8a 80-892,Nazwa: „Happy Sport” Krzysztof Wesołowski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Niedźwiednik<br>Grantobiorca Nr budynku: 8a<br>Grantobiorca Kod pocztowy: 80-892<br>Wartość wsparcia: 531945,80-892,Gdańsk,8a,Niedźwiednik,POMORSKIE,„Happy Sport” Krzysztof Wesołowski,531945.0,
Wielki odpoczynek w Cedrach Małych - poprawa odporności i dywersyfikacja działalności przedsiębiorstwa DOMINIK BORATYŃSKI poprzez wprowadzenie nowej usługi – zakwaterowania w domkach mobilnych w województwie pomorskim (Region 1),POMORSKIE Cedry Małe Miodowa 5 83-020,Nazwa: DOMINIK BORATYŃSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Cedry Małe<br>Grantobiorca Ulica: Miodowa<br>Grantobiorca Nr budynku: 5<br>Grantobiorca Kod pocztowy: 83-020<br>Wartość wsparcia: 305411.94,83-020,Cedry Małe,5,Miodowa,POMORSKIE,DOMINIK BORATYŃSKI,305411.94,Gdansk County
"Rozszerzenie i dywersyfikacja działalności Thao Thai Restaurant Sp. z o. o. poprzez budowę trzech energooszczędnych budynków rekreacji indywidualnej z przeznaczeniem na usługi turystyczne w Sasinie (gmina Choczewo, województwo pomorskie).",POMORSKIE Gdynia Żaglowa 68 81-578,Nazwa: THAO THAI RESTAURANT Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Żaglowa<br>Grantobiorca Nr budynku: 68<br>Grantobiorca Kod pocztowy: 81-578<br>Wartość wsparcia: 540000,81-578,Gdynia,68,Żaglowa,POMORSKIE,THAO THAI RESTAURANT Spółka z ograniczoną odpowiedzialnością,540000.0,Gdynia
"Wzmocnienie konkurencyjności oraz odporności na sytuacje kryzysowe przedsiębiorstwa Anna Sorbian Zakład Opieki Stomatologicznej ""Dental-Rondo"" poprzez unowocześnienie bazy usługowej i dywersyfikację działalności w Gdańsku w województwie pomorskim.",POMORSKIE Gdańsk Myśliwska 61 80-283,"Nazwa: Anna Sorbian Zakład Opieki Stomatologicznej ""Dental-Rondo""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Myśliwska<br>Grantobiorca Nr budynku: 61<br>Grantobiorca Kod pocztowy: 80-283<br>Wartość wsparcia: 503219",80-283,Gdańsk,61,Myśliwska,POMORSKIE,"Anna Sorbian Zakład Opieki Stomatologicznej ""Dental-Rondo""",503219.0,Gdansk
Dywersyfikacja i rozszerzenie działalności STOWARZYSZENIE ABSOLWENTÓW AKADEMII MORSKIEJ W GDYNI region POMORZE,POMORSKIE Gdynia Morska 81-87 81-225,Nazwa: STOWARZYSZENIE ABSOLWENTÓW AKADEMII MORSKIEJ W GDYNI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Morska<br>Grantobiorca Nr budynku: 81-87<br>Grantobiorca Kod pocztowy: 81-225<br>Wartość wsparcia: 520331.79,81-225,Gdynia,81-87,Morska,POMORSKIE,STOWARZYSZENIE ABSOLWENTÓW AKADEMII MORSKIEJ W GDYNI,520331.79,Gdynia
Rozszerzenie działalności PPHU SOMBUD w regionie 1 -pomorskim,POMORSKIE Somonino Ceramiczna 1A 83-314,"Nazwa: MIROSŁAW SOCHA Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ,,SOMBUD""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Somonino<br>Grantobiorca Ulica: Ceramiczna<br>Grantobiorca Nr budynku: 1A<br>Grantobiorca Kod pocztowy: 83-314<br>Wartość wsparcia: 462192.33",83-314,Somonino,1A,Ceramiczna,POMORSKIE,"MIROSŁAW SOCHA Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ,,SOMBUD""",462192.33,Powiat kartuski
Rozszerzenie oferty o stanowiska gastronomiczne na imprezach miejskich oraz otwarcie wypożyczalni rowerów w województwie pomorskim.,POMORSKIE Wejherowo Jana III Sobieskiego 296 84-200,"Nazwa: Restauracja ""Trzy Korony"" Andrzej Labudda<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Wejherowo<br>Grantobiorca Ulica: Jana III Sobieskiego<br>Grantobiorca Nr budynku: 296<br>Grantobiorca Kod pocztowy: 84-200<br>Wartość wsparcia: 88954.41",84-200,Wejherowo,296,Jana III Sobieskiego,POMORSKIE,"Restauracja ""Trzy Korony"" Andrzej Labudda",88954.41,Powiat wejherowski
EkoRowerownia - uruchomienie wypożyczalni rowerów elektrycznych na terenie województwa pomorskiego,POMORSKIE Rzepnica Ks. Jerzego Popiełuszki 11 77-100,Nazwa: ITRICH Transport i Paliwa BOGDAN ITRICH<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Rzepnica<br>Grantobiorca Ulica: Ks. Jerzego Popiełuszki<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 77-100<br>Wartość wsparcia: 455116.07,77-100,Rzepnica,11,Ks. Jerzego Popiełuszki,POMORSKIE,ITRICH Transport i Paliwa BOGDAN ITRICH,455116.07,Powiat bytowski
Dywersyfikacja działalności spółki Farma prowadzącej działalność w województwie pomorskim poprzez wprowadzenie do oferty spółki aplikacji do rezerwowania lokali oraz usługi organizacji projekcji filmów w formie kina letniego.,POMORSKIE Gdańsk Korzenna 33 80-851,"Nazwa: ""FARMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Korzenna<br>Grantobiorca Nr budynku: 33<br>Grantobiorca Kod pocztowy: 80-851<br>Wartość wsparcia: 228222",80-851,Gdańsk,33,Korzenna,POMORSKIE,"""FARMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",228222.0,Gdansk
Zwiększenie odporności i konkurencyjności firmy “Firma Handlowo-Usługowa Szymon Wołoszyk” na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności: REGION 1 - województwo pomorskie.,POMORSKIE Zelgoszcz Księdza Bony 12 83-208,Nazwa: Firma Handlowo-Usługowa Szymon Wołoszyk<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Zelgoszcz<br>Grantobiorca Ulica: Księdza Bony<br>Grantobiorca Nr budynku: 12<br>Grantobiorca Kod pocztowy: 83-208<br>Wartość wsparcia: 147128.41,83-208,Zelgoszcz,12,Księdza Bony,POMORSKIE,Firma Handlowo-Usługowa Szymon Wołoszyk,147128.41,Powiat starogardzki
Rozszerzenie działalności Hotelu Jantar w regionie 1 -pomorskim,POMORSKIE Ustka Wczasowa 14 76-270,Nazwa: HOTEL JANTAR ĆWIGOŃ I WSPÓLNICY SPÓŁKA JAWNA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Ustka<br>Grantobiorca Ulica: Wczasowa<br>Grantobiorca Nr budynku: 14<br>Grantobiorca Kod pocztowy: 76-270<br>Wartość wsparcia: 506445.7,76-270,Ustka,14,Wczasowa,POMORSKIE,HOTEL JANTAR ĆWIGOŃ I WSPÓLNICY SPÓŁKA JAWNA,506445.7,Powiat koszalinski
Rozwój usług turystycznych sposobem na podniesienie odporności na sytuacje kryzysowe oraz dywersyfikację przychodów w firmie Wanted Grzegorz Latoszewski wraz podniesieniem jakości usług turystycznych w woj. Pomorskim.,,Nazwa: Wanted Grzegorz Latoszewski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Koszalin<br>Grantobiorca Ulica: Podlaska<br>Grantobiorca Nr budynku: 43<br>Grantobiorca Kod pocztowy: 75-396<br>Wartość wsparcia: 506388.79,75-396,Koszalin,43,Podlaska,POMORSKIE,Wanted Grzegorz Latoszewski,506388.79,Koszalin
Rozszerzenie działalności Spółki o ofertę mobilnych miejsc noclegowych i wypożyczalnie sprzętów wodnych w atrakcyjnych lokalizacjach w regionie pomorskim,POMORSKIE Gdynia Wzgórze Bernadowo 301 81-583,Nazwa: Euro Lider Group Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Wzgórze Bernadowo<br>Grantobiorca Nr budynku: 301<br>Grantobiorca Kod pocztowy: 81-583<br>Wartość wsparcia: 532871.55,81-583,Gdynia,301,Wzgórze Bernadowo,POMORSKIE,Euro Lider Group Spółka z ograniczoną odpowiedzialnością,532871.55,Gdynia
"Inwestycja polegająca na zakupie i uruchomieniu wewnętrznego placu zabaw dla dzieci, 2 torów bowlingowych oraz unowocześnieniu maneżu do jazd konnych umożliwiająca rozszerzenie działalności o nową usługę stworzenia oferty organizacji całorocznych pobytów zorganizowanych dla klientów indywidualnych w celu zwiększenia odporności na kryzysy firmy Joanna Krzyżanowska Centrum Sportu i Rekreacji Zielona brama w Przywidzu",POMORSKIE Przywidz Gdańska 26 83-047,"Nazwa: JOANNA KRZYŻANOWSKA CENTRUM SPORTU I REKREACJI ""ZIELONA BRAMA""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Przywidz<br>Grantobiorca Ulica: Gdańska<br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 83-047<br>Wartość wsparcia: 531900",83-047,Przywidz,26,Gdańska,POMORSKIE,"JOANNA KRZYŻANOWSKA CENTRUM SPORTU I REKREACJI ""ZIELONA BRAMA""",531900.0,Gdansk County
Rozszerzenie działalności PPHU IRES w regionie 1 -pomorskim,POMORSKIE Somonino Ceramiczna 1a 83-314,"Nazwa: IRENA SOCHA Przedsiębiorstwo Produkcyjno Handlowo - Usługowe ,,IRES"" Irena Socha<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Somonino<br>Grantobiorca Ulica: Ceramiczna<br>Grantobiorca Nr budynku: 1a<br>Grantobiorca Kod pocztowy: 83-314<br>Wartość wsparcia: 213060",83-314,Somonino,1a,Ceramiczna,POMORSKIE,"IRENA SOCHA Przedsiębiorstwo Produkcyjno Handlowo - Usługowe ,,IRES"" Irena Socha",213060.0,Powiat kartuski
"Odbudowa i zwiększenie odporności Willi Rejs poprzez rozszerzenie obecnej działalności o nową usługę wypożyczalni rowerów elektrycznych ""Sunny eBikes""",POMORSKIE Krynica Morska Rybacka 38 82-120,Nazwa: Adam Mazurowski Rybołówstwo - Handel Rybą<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Krynica Morska<br>Grantobiorca Ulica: Rybacka<br>Grantobiorca Nr budynku: 38<br>Grantobiorca Kod pocztowy: 82-120<br>Wartość wsparcia: 148750.11,82-120,Krynica Morska,38,Rybacka,POMORSKIE,Adam Mazurowski Rybołówstwo - Handel Rybą,148750.11,Powiat nowodworski
"Zwiększenie odporności i konkurencyjności firmy “""BONGART JEWELLERY"" Piotr Bongart, ""ZŁA KOBIETA"" Piotr Bongart” na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności: REGION 1 - województwo pomorskie.",POMORSKIE Sopot Bohaterów Monte Cassino 53 81-767,"Nazwa: ""BONGART JEWELLERY"" Piotr Bongart, ""ZŁA KOBIETA"" Piotr Bongart<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sopot<br>Grantobiorca Ulica: Bohaterów Monte Cassino<br>Grantobiorca Nr budynku: 53<br>Grantobiorca Kod pocztowy: 81-767<br>Wartość wsparcia: 480803.8",81-767,Sopot,53,Bohaterów Monte Cassino,POMORSKIE,"""BONGART JEWELLERY"" Piotr Bongart, ""ZŁA KOBIETA"" Piotr Bongart",480803.8,Sopot
"Działalność turystyczno-rekreacyjna związana z wodą, prowadzona na terenie województwa pomorskiego, miejsce prowadzenia działalności Gdańsk Wyspa Sobieszewska",POMORSKIE Gdańsk Stefana Batorego 28b 80-251,Nazwa: Villa Eva Ewa Kulczycka<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Stefana Batorego<br>Grantobiorca Nr budynku: 28b<br>Grantobiorca Kod pocztowy: 80-251<br>Wartość wsparcia: 437712,80-251,Gdańsk,28b,Stefana Batorego,POMORSKIE,Villa Eva Ewa Kulczycka,437712.0,Gdansk
Zwiększenie odporności i dywersyfikacja działalności przedsiębiorstwa SŁAWOMIR TWORKOWSKI poprzez wprowadzenie nowych usług w województwie pomorskim (Region 1) z zastosowaniem rozwiązań w zakresie „zielonej transformacji”.,POMORSKIE Gdańsk Pólnicy 18 80-177,Nazwa: SŁAWOMIR TWORKOWSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Pólnicy<br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 80-177<br>Wartość wsparcia: 297657.9,80-177,Gdańsk,18,Pólnicy,POMORSKIE,SŁAWOMIR TWORKOWSKI,297657.9,Gdansk
