name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia
Poszerzenie usług sali bankietowej Drewutnia w Rytlu woj. pomorskie i jej modernizacja oraz poprawa efektywności energetycznej budynku,POMORSKIE Rytel (osada) 1a 89-642,Nazwa: Olcha Karolina Drewek<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Rytel (osada)<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 1a<br>Grantobiorca Kod pocztowy: 89-642<br>Wartość wsparcia: 416446,89-642,Rytel (osada),1a,,POMORSKIE,Olcha Karolina Drewek,416446
"Rozszerzenie działalności Konrad Pietraszuk poprzez otwarcie restauracji specjalizującej się w kuchni włoskiej w Regionie 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie.",ZACHODNIOPOMORSKIE Szczecin Tyniecka 28a 71-019,Nazwa: KONRAD PIETRASZUK<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Szczecin<br>Grantobiorca Ulica: Tyniecka<br>Grantobiorca Nr budynku: 28a<br>Grantobiorca Kod pocztowy: 71-019<br>Wartość wsparcia: 512455.5,71-019,Szczecin,28a,Tyniecka,ZACHODNIOPOMORSKIE,KONRAD PIETRASZUK,512455.5
Rozszerzenie i dywersyfikacja działalności firmy Przedsiębiorstwo Wielobranżowe Jarosław Jankowski w sektorze usług noclegowych i wypożyczalni sprzętu sportowego i rekreacyjnego w Regionie 1,POMORSKIE Bydgoszcz Mennica 1 85-112,Nazwa: PRZEDSIĘBIORSTWO WIELOBRANŻOWE JAROSŁAW JANKOWSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Bydgoszcz<br>Grantobiorca Ulica: Mennica<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 85-112<br>Wartość wsparcia: 479920.12,85-112,Bydgoszcz,1,Mennica,POMORSKIE,PRZEDSIĘBIORSTWO WIELOBRANŻOWE JAROSŁAW JANKOWSKI,479920.12
Dywersyfikacja działalności firmy Quadrivium poprzez utworzenie nowej oferty pobytów w domach na wodzie w Dąbkowicach,ZACHODNIOPOMORSKIE Koszalin Sianowska 4n 75-643,Nazwa: QUADRIVIUM FIRMA KONSULTINGOWA ANNA KALINOWSKA<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Koszalin<br>Grantobiorca Ulica: Sianowska<br>Grantobiorca Nr budynku: 4n<br>Grantobiorca Kod pocztowy: 75-643<br>Wartość wsparcia: 538298.77,75-643,Koszalin,4n,Sianowska,ZACHODNIOPOMORSKIE,QUADRIVIUM FIRMA KONSULTINGOWA ANNA KALINOWSKA,538298.77
Zwiększenie odporności działalności gospodarczej FUN -TOMAS TOMASZ ZIEMANN na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie).,POMORSKIE Gdańsk al. Aleja Zwycięstwa 12 80-219,Nazwa: FUN -TOMAS TOMASZ ZIEMANN<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: al. Aleja Zwycięstwa<br>Grantobiorca Nr budynku: 12<br>Grantobiorca Kod pocztowy: 80-219<br>Wartość wsparcia: 519639.94,80-219,Gdańsk,12,al. Aleja Zwycięstwa,POMORSKIE,FUN -TOMAS TOMASZ ZIEMANN,519639.94
Wprowadzenie ekologicznych domków mobilnych Tiny House z dodatkowymi usługami rekreacyjnymi jako nowa oferta turystyczna dla miłośników natury i zrównoważonego rozwoju w Grzybowie.”,ZACHODNIOPOMORSKIE Kołobrzeg Cicha 7a 78-100,Nazwa: CHILLIapartamenty ARTUR BRYCHCY<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Kołobrzeg<br>Grantobiorca Ulica: Cicha<br>Grantobiorca Nr budynku: 7a<br>Grantobiorca Kod pocztowy: 78-100<br>Wartość wsparcia: 529479.44,78-100,Kołobrzeg,7a,Cicha,ZACHODNIOPOMORSKIE,CHILLIapartamenty ARTUR BRYCHCY,529479.44
"Dywersyfikacja działalności poprzez wprowadzenie nowej usługi - hotelarstwa, domków modułowych z zielonymi dachami, z łączną inwestycją w rozwiązania cyfrowe na terenie województwa kujawsko- pomorskiego.",KUJAWSKO-POMORSKIE Michale 45 86-134,Nazwa: Magdalena Zuziak<br>Miejsce Realizacji Województwo: KUJAWSKO-POMORSKIE<br>Grantobiorca Miejscowość: Michale<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 45<br>Grantobiorca Kod pocztowy: 86-134<br>Wartość wsparcia: 538354.4,86-134,Michale,45,,KUJAWSKO-POMORSKIE,Magdalena Zuziak,538354.4
Zwiększenie odporności przedsiębiorstwa MIDI MARTA NOWAK na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE Gdynia al. Zwycięstwa 96 81-341,Nazwa: MIDI MARTA NOWAK<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: al. Zwycięstwa<br>Grantobiorca Nr budynku: 96<br>Grantobiorca Kod pocztowy: 81-341<br>Wartość wsparcia: 325537.42,81-341,Gdynia,96,al. Zwycięstwa,POMORSKIE,MIDI MARTA NOWAK,325537.42
"Dywersyfikacja działalności restauracji Pod Dębami, wprowadzenie nowych produktów gastronomicznych, usługi cateringowej oraz organizacji przyjęć okolicznościowych. Region 1 (pomorskie)",POMORSKIE Bytonia Główna 30 83-210,Nazwa: Pod Dębami Bogusław Blok<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Bytonia<br>Grantobiorca Ulica: Główna<br>Grantobiorca Nr budynku: 30<br>Grantobiorca Kod pocztowy: 83-210<br>Wartość wsparcia: 539869.75,83-210,Bytonia,30,Główna,POMORSKIE,Pod Dębami Bogusław Blok,539869.75
"Rozszerzenie działalności oraz zwiększenie odporności przedsiębiorstwa Dym na Wodzie R.Niewiarowski, M.Kuczyńska-Niewiarowska spółka cywilna, prowadzącego działalność w regionie 1, poprzez zakup sprzętu i wyposażenia gastronomicznego niezbędnego do wprowadzenia nowej usługi do oferty przedsiębiorstwa, zwiększenie efektywności energetycznej przedsiębiorstwa oraz podniesienie kwalifikacji pracowników.",POMORSKIE Słupsk Bałtycka 8 76-200,"Nazwa: DYM NA WODZIE RAFAŁ NIEWIAROWSKI, MARLENA KUCZYŃSKA-NIEWIAROWSKA SPÓŁKA CYWILNA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Słupsk<br>Grantobiorca Ulica: Bałtycka<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 76-200<br>Wartość wsparcia: 539967.6",76-200,Słupsk,8,Bałtycka,POMORSKIE,"DYM NA WODZIE RAFAŁ NIEWIAROWSKI, MARLENA KUCZYŃSKA-NIEWIAROWSKA SPÓŁKA CYWILNA",539967.6
Dywersyfikacja działalności restauracji PEWEXX poprzez inwestycję w centrum rekreacyjno sportowe w miejscowości Gąski na terenie województwa zachodniopomorskiego.,,Nazwa: ADAMPOL ADAM ŻANKOWSKI<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Wrocław<br>Grantobiorca Ulica: Ruska<br>Grantobiorca Nr budynku: 8-9<br>Grantobiorca Kod pocztowy: 50-079<br>Wartość wsparcia: 501486,50-079,Wrocław,8-9,Ruska,ZACHODNIOPOMORSKIE,ADAMPOL ADAM ŻANKOWSKI,501486
"Rozszerzenie oferty usługowej pensjonatu Willa Letnia Apartamenty w Krynicy Morskiej poprzez budowę pergoli, wyposażenie zaplecza gastronomicznego oraz budowę basenu w celu zwiększenia atrakcyjności obiektu.",POMORSKIE Elbląg Dębowa 3 82-300,"Nazwa: Firma Handlowa ""RUDNICKI"" Katarzyna Rudnicka<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Elbląg<br>Grantobiorca Ulica: Dębowa<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 82-300<br>Wartość wsparcia: 536461.2",82-300,Elbląg,3,Dębowa,POMORSKIE,"Firma Handlowa ""RUDNICKI"" Katarzyna Rudnicka",536461.2
"Budowanie odporności P.H.U. ""ARAS"" Arkadiusz Janczewski poprzez rozszerzenie i dywersyfikację działalności w wojewóztwie pomorskim (region 1)",POMORSKIE Wiślinka Łąkowa 223 83-011,"Nazwa: P.H.U. ""ARAS"" Arkadiusz Janczewski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Wiślinka<br>Grantobiorca Ulica: Łąkowa<br>Grantobiorca Nr budynku: 223<br>Grantobiorca Kod pocztowy: 83-011<br>Wartość wsparcia: 535611.6",83-011,Wiślinka,223,Łąkowa,POMORSKIE,"P.H.U. ""ARAS"" Arkadiusz Janczewski",535611.6
Dywersyfikacja i rozszerzenie działalności Towarzystwa Wszechstronnego Rozwoju Collegium poprzez wdrożenie nowego produktu i nowego pakietu usług.,ZACHODNIOPOMORSKIE Szczecin Orawska 1 70-131,Nazwa: Towarzystwo Wszechstronnego Rozwoju Collegium<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Szczecin<br>Grantobiorca Ulica: Orawska<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 70-131<br>Wartość wsparcia: 526122.41,70-131,Szczecin,1,Orawska,ZACHODNIOPOMORSKIE,Towarzystwo Wszechstronnego Rozwoju Collegium,526122.41
"""HOTEL GNIECKI CENTRUM ODCHUDZAJĄCE"" – Innowacyjne technologie cyfrowe, cyfryzacja obiektu, aplikacja mobilna i platforma e-commerce wspierające odporność przedsiębiorstwa poprzez rozwój usług dla osób o szczególnych potrzebach zdrowotnych w REGIONIE 1.",POMORSKIE Przejazdowo Kasztanowa 2 83-021,Nazwa: HOTEL GNIECKI GDAŃSK KAZIMIERZ GNIECKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Przejazdowo<br>Grantobiorca Ulica: Kasztanowa<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 83-021<br>Wartość wsparcia: 474786.25,83-021,Przejazdowo,2,Kasztanowa,POMORSKIE,HOTEL GNIECKI GDAŃSK KAZIMIERZ GNIECKI,474786.25
Wzmocnienie odporności oraz potencjału rozwojowego Firmy Aneta Tyczyńska Marketing&More poprzez dywersyfikację działalności w obszarze prowadzenia obiektów noclegowych krótkotrwałego zakwaterowania na terenie województwa pomorskiego,POMORSKIE Warszawa Pastuszków 11 04-435,Nazwa: Aneta Tyczyńska Marketing&More<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Pastuszków<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 04-435<br>Wartość wsparcia: 535500,04-435,Warszawa,11,Pastuszków,POMORSKIE,Aneta Tyczyńska Marketing&More,535500
Wzmocnienie odporności oraz potencjału rozwojowego Firmy EKO-PARTNER KRYSTIAN SKIBA poprzez dywersyfikację działalności w obszarze prowadzenia obiektów noclegowych krótkotrwałego zakwaterowania na terenie województwa pomorskiego,POMORSKIE Przewłoka 12a 76-270,Nazwa: EKO-PARTNER KRYSTIAN SKIBA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Przewłoka<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 12a<br>Grantobiorca Kod pocztowy: 76-270<br>Wartość wsparcia: 535500,76-270,Przewłoka,12a,,POMORSKIE,EKO-PARTNER KRYSTIAN SKIBA,535500
Zwiększenie odporności przedsiębiorstwa Andrzej Gnitecki ANTECKI PRZEDSIĘBIORSTWO WIELOBRANŻOWE poprzez wprowadzenie nowej oferty do działalności firmy w ramach regionu 1,ZACHODNIOPOMORSKIE Międzyzdroje Gryfa Pomorskiego 4 72-500,Nazwa: Andrzej Gnitecki ANTECKI PRZEDSIĘBIORSTWO WIELOBRANŻOWE<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Międzyzdroje<br>Grantobiorca Ulica: Gryfa Pomorskiego<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 72-500<br>Wartość wsparcia: 328587.85,72-500,Międzyzdroje,4,Gryfa Pomorskiego,ZACHODNIOPOMORSKIE,Andrzej Gnitecki ANTECKI PRZEDSIĘBIORSTWO WIELOBRANŻOWE,328587.85
Dywersyfikacja i rozszerzenie działalności 201 studio Agnieszka Siech region POMORZE,POMORSKIE Gdynia Józefa Korzeniowskiego 3 81-376,Nazwa: 201 studio Agnieszka Siech<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Józefa Korzeniowskiego<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 81-376<br>Wartość wsparcia: 534370.65,81-376,Gdynia,3,Józefa Korzeniowskiego,POMORSKIE,201 studio Agnieszka Siech,534370.65
Rozszerzenie działalności firmy MARAKANA poprzez wprowadzenie nowej usługi mającej na celu zwiększenie odporności na sytuacje kryzysowe Region 1 - zachodniopomorskie,ZACHODNIOPOMORSKIE Niechorze Ludna 7 72-320,Nazwa: MARAKANA Daniel Kwiatkowski<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Niechorze<br>Grantobiorca Ulica: Ludna<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 72-320<br>Wartość wsparcia: 299629.62,72-320,Niechorze,7,Ludna,ZACHODNIOPOMORSKIE,MARAKANA Daniel Kwiatkowski,299629.62
Zwiększenie odporności i rozwój firmy WANTA poprzez rozszerzenie oferty produktowej,ZACHODNIOPOMORSKIE Szczecin Wały Chrobrego 1 70-500,"Nazwa: ""WANTA""AGNIESZKA GABRIEL GOGOŁKIEWICZ<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Szczecin<br>Grantobiorca Ulica: Wały Chrobrego<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 70-500<br>Wartość wsparcia: 252049.17",70-500,Szczecin,1,Wały Chrobrego,ZACHODNIOPOMORSKIE,"""WANTA""AGNIESZKA GABRIEL GOGOŁKIEWICZ",252049.17
Wzrost konkurencyjności firmy poprzez rozszerzenie zakresu oferowanych produktów - mobilny punkt gastronomiczny w celu budowy odporności przedsiębiorstwa na niekorzystne zjawiska ekonomiczne oraz kryzys gospodarczy.,POMORSKIE Kobylnica Topolowa 15 76-251,Nazwa: GRUPA I WORK Katarzyna Okunowicz<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kobylnica<br>Grantobiorca Ulica: Topolowa<br>Grantobiorca Nr budynku: 15<br>Grantobiorca Kod pocztowy: 76-251<br>Wartość wsparcia: 401364,76-251,Kobylnica,15,Topolowa,POMORSKIE,GRUPA I WORK Katarzyna Okunowicz,401364
"Dywersyfikacja działalności oraz podniesienie konkurencyjności Hotelu Havet***** w Dźwirzynie poprzez wprowadzenie nowych usług eventowych, gastronomicznych oraz zdrowotnych.",ZACHODNIOPOMORSKIE Dźwirzyno Wyzwolenia 29 78-131,Nazwa: GRAND BALTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Dźwirzyno<br>Grantobiorca Ulica: Wyzwolenia<br>Grantobiorca Nr budynku: 29<br>Grantobiorca Kod pocztowy: 78-131<br>Wartość wsparcia: 272532,78-131,Dźwirzyno,29,Wyzwolenia,ZACHODNIOPOMORSKIE,GRAND BALTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,272532
Zwiększenie odporności firmy MAS Projects Marcin Śliwa na sytuacje kryzysowe w wyniku dywersyfikacji działalności poprzez wprowadzenie całkowicie nowych w ofercie firmy usług noclegowych na terenie województwa kujawsko – pomorskiego czyli regionu nr 1 naboru konkursowego inwestycji KPO A.1.2.1.,KUJAWSKO-POMORSKIE Zielonka Jeżynowa 8 86-005,Nazwa: MAS Projects Marcin Śliwa<br>Miejsce Realizacji Województwo: KUJAWSKO-POMORSKIE<br>Grantobiorca Miejscowość: Zielonka<br>Grantobiorca Ulica: Jeżynowa<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 86-005<br>Wartość wsparcia: 539901.9,86-005,Zielonka,8,Jeżynowa,KUJAWSKO-POMORSKIE,MAS Projects Marcin Śliwa,539901.9
„Dywersyfikację działalności i wprowadzenie nowej usługi w Hotelu Atria w celu zwiększenie odporności branży hotelarskiej w województwie zachodniopomorskim na negatywne skutki zewnętrzne”,ZACHODNIOPOMORSKIE Żółwia 1I 72-100,"Nazwa: "" Jelińscy"" s.c. Aleksandra Jelińska, Małgorzata Lisowska<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Żółwia<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 1I<br>Grantobiorca Kod pocztowy: 72-100<br>Wartość wsparcia: 530619.27",72-100,Żółwia,1I,,ZACHODNIOPOMORSKIE,""" Jelińscy"" s.c. Aleksandra Jelińska, Małgorzata Lisowska",530619.27
"Rozszerzenie działalności Maciej Bielecki AGENCJA MB o nową ofertę usługową wraz z transformacją cyfrową i ekologiczną firmy, zmierzającą do zwiększającą konkurencyjność i odporność na przyszłe kryzysy firmy w województwie pomorskim (Region 1)",POMORSKIE Gdynia Mazurska 4A 81-312,Nazwa: Maciej Bielecki AGENCJA MB<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Mazurska<br>Grantobiorca Nr budynku: 4A<br>Grantobiorca Kod pocztowy: 81-312<br>Wartość wsparcia: 416284.93,81-312,Gdynia,4A,Mazurska,POMORSKIE,Maciej Bielecki AGENCJA MB,416284.93
Dywersyfikacja oferty w woj. pomorskim przez firmę RSI Radosław Szadkowski,POMORSKIE Tawęcino 67a 84-351,Nazwa: RSI Radosław Szadkowski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Tawęcino<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 67a<br>Grantobiorca Kod pocztowy: 84-351<br>Wartość wsparcia: 535590,84-351,Tawęcino,67a,,POMORSKIE,RSI Radosław Szadkowski,535590
"Rozszerzenie i dywersyfikacja działalności firmy SAILEAT Paweł Wiercioch o usługi wypożyczalni sprzętów turystycznych i usługi gastronomiczne w miejscowości Łupawsko, gmina Czarna Dąbrówka, (województwo pomorskie) wraz z zakupem powiązanych usług doradczych, szkoleniowych, cyfrowych oraz działaniami w zakresie „zielonej transformacji”.",POMORSKIE Słupsk Artura Grottgera 12 76-200,Nazwa: SAILEAT Paweł Wiercioch<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Słupsk<br>Grantobiorca Ulica: Artura Grottgera<br>Grantobiorca Nr budynku: 12<br>Grantobiorca Kod pocztowy: 76-200<br>Wartość wsparcia: 172849.32,76-200,Słupsk,12,Artura Grottgera,POMORSKIE,SAILEAT Paweł Wiercioch,172849.32
"Rozszerzenie działalności firmy Zielone Wzgórza Alicja Gerbatowska o nową ofertę usługową wraz z transformacją cyfrową i ekologiczną, zwiększającą konkurencyjność i odporność firmy na przyszłe kryzysy w województwie pomorskim (Region 1)",POMORSKIE Mądrzechowo Świerkowa 1 77-100,Nazwa: ZIELONE WZGÓRZA ALICJA GERBATOWSKA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Mądrzechowo<br>Grantobiorca Ulica: Świerkowa<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 77-100<br>Wartość wsparcia: 540000,77-100,Mądrzechowo,1,Świerkowa,POMORSKIE,ZIELONE WZGÓRZA ALICJA GERBATOWSKA,540000
"Zwiększenie odporności firmy PARK HOTEL SP. Z O.O. na sytuacje kryzysowe poprzez stworzenie zewnętrznej kawiarni jako dywersyfikacja prowadzonej działalności gospodarczej w Regionie 1 – województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie.",ZACHODNIOPOMORSKIE Szczecin Plantowa 1 70-527,Nazwa: AFTER 1226 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (PARK HOTEL SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ)<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Szczecin<br>Grantobiorca Ulica: Plantowa<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 70-527<br>Wartość wsparcia: 474000.02,70-527,Szczecin,1,Plantowa,ZACHODNIOPOMORSKIE,AFTER 1226 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (PARK HOTEL SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ),474000.02
"Rozwój kompleksu turystyczno-rekreacyjnego Zajazdu 'Ostoja' poprzez utworzenie strefy SPA, wypożyczalni sprzętu rekreacyjnego i baru z przekąskami w Sporyszu, region nr.1 województwo Pomorskie",POMORSKIE Sporysz 8 77-304,"Nazwa: Zajazd ""Ostoja"" - Małgorzata Lenio<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sporysz<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 77-304<br>Wartość wsparcia: 469571.19",77-304,Sporysz,8,,POMORSKIE,"Zajazd ""Ostoja"" - Małgorzata Lenio",469571.19
"Rozszerzenie działalności firmy HOTEL-RESTAURACJA-""MARATON"" S.C. ZIÓŁKOWSKA MAŁGORZATA KRZEWINA EWA w województwie kujawsko-pomorskim o nowe usługi",KUJAWSKO-POMORSKIE Bydgoszcz Powstańców Warszawy 13 85-681,"Nazwa: HOTEL-RESTAURACJA-""MARATON"" S.C. ZIÓŁKOWSKA MAŁGORZATA KRZEWINA EWA<br>Miejsce Realizacji Województwo: KUJAWSKO-POMORSKIE<br>Grantobiorca Miejscowość: Bydgoszcz<br>Grantobiorca Ulica: Powstańców Warszawy<br>Grantobiorca Nr budynku: 13<br>Grantobiorca Kod pocztowy: 85-681<br>Wartość wsparcia: 523683.9",85-681,Bydgoszcz,13,Powstańców Warszawy,KUJAWSKO-POMORSKIE,"HOTEL-RESTAURACJA-""MARATON"" S.C. ZIÓŁKOWSKA MAŁGORZATA KRZEWINA EWA",523683.9
Śladami Przygód - wprowadzenie usługi wypożyczalni elektrycznego sprzętu sportowego dla aktywnego odkrywania pięknych krajobrazów województwa pomorskiego.,POMORSKIE Władysławowo Żytnia 19 84-120,"Nazwa: ""WIEN"" - Tomasz Samojlik<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Władysławowo<br>Grantobiorca Ulica: Żytnia<br>Grantobiorca Nr budynku: 19<br>Grantobiorca Kod pocztowy: 84-120<br>Wartość wsparcia: 537453.5",84-120,Władysławowo,19,Żytnia,POMORSKIE,"""WIEN"" - Tomasz Samojlik",537453.5
"Rozszerzenie działalności hotelu Lidia w regonie zachodniopomorskim, poprzez wprowadzenie nowych usług (catering).",ZACHODNIOPOMORSKIE Darłowo Dorszowa 3 76-153,Nazwa: HOTEL LIDIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA<br>Miejsce Realizacji Województwo: ZACHODNIOPOMORSKIE<br>Grantobiorca Miejscowość: Darłowo<br>Grantobiorca Ulica: Dorszowa<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 76-153<br>Wartość wsparcia: 539840.66,76-153,Darłowo,3,Dorszowa,ZACHODNIOPOMORSKIE,HOTEL LIDIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,539840.66
Dywersyfikacja Działalności przez Otwarcie Wypożyczalni Rowerów i Rozpoczęcie Świadczenia Usług Cateringowych z Zastosowaniem Nowoczesnych Rozwiązań Ekologicznych przez Firmę BAR BISTRO-HOTEL ZYGMUNT DRYWA w Regionie 1 (województwo pomorskie,POMORSKIE Dworek 26 82-103,Nazwa: ZYGMUNT DRYWA BAR BISTRO-HOTEL<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Dworek<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 82-103<br>Wartość wsparcia: 368103.19,82-103,Dworek,26,,POMORSKIE,ZYGMUNT DRYWA BAR BISTRO-HOTEL,368103.19
Rozszerzenie i dywersyfikacja działalności turystycznej firmy VISION MANAGEMENT & CONSULTING Sp. z o. o. (województwo pomorskie) w zakresie wypożyczalni kajaków i rowerów oraz sauny mobilnej wraz z wdrożeniem rozwiązań cyfrowych i elementów „zielonej transformacji” w przedsiębiorstwie oraz zakupem powiązanych usług doradczych i szkoleniowych.,POMORSKIE Gdańsk Jana Heweliusza 11 80-890,"Nazwa: ""VISION MANAGEMENT & CONSULTING"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Jana Heweliusza<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 80-890<br>Wartość wsparcia: 503955.48",80-890,Gdańsk,11,Jana Heweliusza,POMORSKIE,"""VISION MANAGEMENT & CONSULTING"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",503955.48
Wzrost odporności na sytuacje kryzysowe przedsiębiorstwa BIURO TURYSTYCZNO PIELGRZYMKOWE FRATER ADAM ZIELINSKI poprzez rozszerzenie i dywersyfikację działalności i wdrożenie nowej usługi na terenie województwa kujawsko-pomorskiego,KUJAWSKO-POMORSKIE Bydgoszcz Dworcowa 18 85-010,Nazwa: BIURO TURYSTYCZNO PIELGRZYMKOWE FRATER ADAM ZIELINSKI<br>Miejsce Realizacji Województwo: KUJAWSKO-POMORSKIE<br>Grantobiorca Miejscowość: Bydgoszcz<br>Grantobiorca Ulica: Dworcowa<br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 85-010<br>Wartość wsparcia: 540000,85-010,Bydgoszcz,18,Dworcowa,KUJAWSKO-POMORSKIE,BIURO TURYSTYCZNO PIELGRZYMKOWE FRATER ADAM ZIELINSKI,540000
